location,country_code,status,error_message
"Löt, Malmby",,ZERO_RESULTS,
jorden runt,None,ZERO_RESULTS,
Lit,,ZERO_RESULTS,
Sund,,ZERO_RESULTS,
utlandet,,ZERO_RESULTS,
Abessinien,,ZERO_RESULTS,
Hedemora landsförsamling,,ZERO_RESULTS,
"Grovared, Älvsborgs Län",,ZERO_RESULTS,
Olika platser,,ZERO_RESULTS,
Skene,,ZERO_RESULTS,
Brittiska Östafrika,None,ZERO_RESULTS,
Åmåls landsförsamling,,ZERO_RESULTS,
Baltiska länderna,None,ZERO_RESULTS,
Rällså,,ZERO_RESULTS,
Utlandet,null,ZERO_RESULTS,
Småland,SWE,ZERO_RESULTS,
"Östad, Mjörnsjö",,ZERO_RESULTS,
Vara,,ZERO_RESULTS,
Rödjenäs,,ZERO_RESULTS,
Råå,,ZERO_RESULTS,
Baltiska staterna,None,ZERO_RESULTS,
nordiska länder,None,ZERO_RESULTS,
Askersunds landsförsamling,,ZERO_RESULTS,
okänt,UNK,ZERO_RESULTS,
Vänersborgs landsförsamling,,ZERO_RESULTS,
Apelviksstrand,,ZERO_RESULTS,
Bona,,ZERO_RESULTS,
"Aske, Bro",,ZERO_RESULTS,
Fur,,ZERO_RESULTS,
utomlands,None,ZERO_RESULTS,
Bofors,SWE,ZERO_RESULTS,
Kenyakolonien,KEN,ZERO_RESULTS,
Hälsingland,SWE,ZERO_RESULTS,
St.,,ZERO_RESULTS,
Utlandet,XXX,ZERO_RESULTS,
Hall,,ZERO_RESULTS,
"Brismened, Skaraborgs Län",,ZERO_RESULTS,
"Gimmene, Folkabo",,ZERO_RESULTS,
de baltiska länderna,None,ZERO_RESULTS,
Wasa,,ZERO_RESULTS,
Danzig,POL,ZERO_RESULTS,
Alingsås landsförsamling,,ZERO_RESULTS,
Främre Orienten,null,ZERO_RESULTS,
Asine,,ZERO_RESULTS,
"Canton, Kina",CHN,ZERO_RESULTS,
"Bolstad, Lillebyn",,ZERO_RESULTS,
disposition,,ZERO_RESULTS,
Diö,,ZERO_RESULTS,
Hillebyn,,ZERO_RESULTS,
Sala,SWE,ZERO_RESULTS,
Kvarn by,,ZERO_RESULTS,
"S:t Peder, Älvsborgs Län",,ZERO_RESULTS,
Samtliga världsdelar,None,ZERO_RESULTS,
Saltsjö-Bo,,ZERO_RESULTS,
Kosta,,ZERO_RESULTS,
Tanganyika,TZA,ZERO_RESULTS,
Toppeladugård,,ZERO_RESULTS,
Untra,,ZERO_RESULTS,
Norrland,None,ZERO_RESULTS,
Töre,,ZERO_RESULTS,
River Plate,,ZERO_RESULTS,
"Johannesnäs, Dunker",,ZERO_RESULTS,
Valla,,ZERO_RESULTS,
Hwang-chow,,ZERO_RESULTS,
Smaland,,ZERO_RESULTS,
Södra Rhodesia,,ZERO_RESULTS,
Nol,,ZERO_RESULTS,
"Kasenberg, Åmål",,ZERO_RESULTS,
Kanton,CHN,ZERO_RESULTS,
Manchuriet,,ZERO_RESULTS,
Unknown,None,ZERO_RESULTS,
Sydvaranger,NOR,ZERO_RESULTS,
Ickorrbotten,,ZERO_RESULTS,
Baltikum,LVA,ZERO_RESULTS,
"Gustaf, Malmöhus Län",,ZERO_RESULTS,
Alnö,,ZERO_RESULTS,
Rhodesia,None,ZERO_RESULTS,
Unknown,Unknown,ZERO_RESULTS,
Örgryte,SWE,ZERO_RESULTS,
"Gustav Adolf, Skaraborgs Län",,ZERO_RESULTS,
Ingen information tillgänglig,,ZERO_RESULTS,
Raus,,ZERO_RESULTS,
In- och utland,,ZERO_RESULTS,
Balkanstaterna,None,ZERO_RESULTS,
Mora,SWE,ZERO_RESULTS,
Flens,,ZERO_RESULTS,
None,USA,ZERO_RESULTS,
"Canton, Kina",,ZERO_RESULTS,
Svea,,ZERO_RESULTS,
FN,None,ZERO_RESULTS,
unknown,None,ZERO_RESULTS,
Mölnlycke,,ZERO_RESULTS,
unspecified,unspecified,ZERO_RESULTS,
"Bärfendal, Göteborgs och Bohus Län",,ZERO_RESULTS,
"Tongcheofu, Kina",,ZERO_RESULTS,
Wiiforsen,,ZERO_RESULTS,
uti,None,ZERO_RESULTS,
Östern,None,ZERO_RESULTS,
Serafimerlasarettet,,ZERO_RESULTS,
Grannländer,None,ZERO_RESULTS,
Berg,,ZERO_RESULTS,
Glava,,ZERO_RESULTS,
Puget Sound Marine Station,USA,ZERO_RESULTS,
Jorden runt,None,ZERO_RESULTS,
Ölme,,ZERO_RESULTS,
Island,,ZERO_RESULTS,
Bie,,ZERO_RESULTS,
Grannländerna,None,ZERO_RESULTS,
Preussen,DEU,ZERO_RESULTS,
Southern Rhodesia,None,ZERO_RESULTS,
Östgrönland,,ZERO_RESULTS,
Asarum,,ZERO_RESULTS,
Gävle-Dala,,ZERO_RESULTS,
"S:t Peter, Minnesota",,ZERO_RESULTS,
Askeröd,,ZERO_RESULTS,
"Hagelberg, Skaraborgs Län",,ZERO_RESULTS,
Hässleby sanatorium,,ZERO_RESULTS,
Anatolien,TUR,ZERO_RESULTS,
Skog,,ZERO_RESULTS,
Årås,,ZERO_RESULTS,
Okänt,---,ZERO_RESULTS,
Tumba,SWE,ZERO_RESULTS,
Getå,,ZERO_RESULTS,
Khorasan,None,ZERO_RESULTS,
"Västra Karsby, Malmöhus Län",,ZERO_RESULTS,
Boliden,SWE,ZERO_RESULTS,
Bohuslän,None,ZERO_RESULTS,
Främre Orienten,string,ZERO_RESULTS,
Khorasan,IRN,ZERO_RESULTS,
"Främlinge, Vanas",,ZERO_RESULTS,
Växjö landsförsamling,,ZERO_RESULTS,
Vånga,,ZERO_RESULTS,
"Vårstavi, Värsta",,ZERO_RESULTS,
Transvaal,,ZERO_RESULTS,
"Knutsberg, Nora",,ZERO_RESULTS,
Nordryssland,RUS,ZERO_RESULTS,
Nordvästgrönland,GRL,ZERO_RESULTS,
Klotens kronopark,,ZERO_RESULTS,
Kongostaten,,ZERO_RESULTS,
Nordfinland,,ZERO_RESULTS,
Franska Ekvatorialafrika,,ZERO_RESULTS,
Karlsdalsbruk,,ZERO_RESULTS,
"Vårstavi, Tumba",,ZERO_RESULTS,
Kopparberg,SWE,ZERO_RESULTS,
"Stora Lundby, Älvsborgs Län",,ZERO_RESULTS,
Ångermanland,SWE,ZERO_RESULTS,
Tarim,CHN,ZERO_RESULTS,
Löt,SWE,ZERO_RESULTS,
Löt,,ZERO_RESULTS,
ett flertal kommuner,,ZERO_RESULTS,
ett flertal länder,None,ZERO_RESULTS,
Malajstaterna,None,ZERO_RESULTS,
"Sävered, Skaraborgs Län",,ZERO_RESULTS,
"Sunna, Lund",,ZERO_RESULTS,
Nordafr,None,ZERO_RESULTS,
Ström,,ZERO_RESULTS,
Älsta,,ZERO_RESULTS,
Brittiska Östafrika,KEN,ZERO_RESULTS,
utrikes,XXX,ZERO_RESULTS,
"N:a Ving, Skaraborgs Län",,ZERO_RESULTS,
Fasterna,,ZERO_RESULTS,
Zaritzin,,ZERO_RESULTS,
mellandistriktet,,ZERO_RESULTS,
"Merlo, Skönvik",,ZERO_RESULTS,
or,,ZERO_RESULTS,
Medelhavsländerna,None,ZERO_RESULTS,
Ektorp,,ZERO_RESULTS,
Mellersta distriktet,,ZERO_RESULTS,
okänt,---,ZERO_RESULTS,
Mimenen,None,ZERO_RESULTS,
Loka,,ZERO_RESULTS,
flera länder,None,ZERO_RESULTS,
därst.,,ZERO_RESULTS,
Diverse länder,None,ZERO_RESULTS,
diverse länder,None,ZERO_RESULTS,
Lerbo,,ZERO_RESULTS,
okänt,okänt,ZERO_RESULTS,
Tillinge,SWE,ZERO_RESULTS,
Kenyakolonien,None,ZERO_RESULTS,
Höryd,,ZERO_RESULTS,
In- och utland,None,ZERO_RESULTS,
Västra distriktet,,ZERO_RESULTS,
Wärnanäs,,ZERO_RESULTS,
Ersta,,ZERO_RESULTS,
Tunadalsverken,,ZERO_RESULTS,
"Häija, Skaraborgs Län",,ZERO_RESULTS,
Lappmarken,,ZERO_RESULTS,
Transjordanien,,ZERO_RESULTS,
"Grönlund, Stråisnäs",,ZERO_RESULTS,
Värtan,,ZERO_RESULTS,
Hör,,ZERO_RESULTS,
Flertal in- och utländska zoologiska stationer,None,ZERO_RESULTS,
Flera länder,None,ZERO_RESULTS,
Torne lappmarker,SWE,ZERO_RESULTS,
Uppland,SWE,ZERO_RESULTS,
Korsån,,ZERO_RESULTS,
Unknown,XXX,ZERO_RESULTS,
Inrikes,SWE,ZERO_RESULTS,
Tjust,,ZERO_RESULTS,
Gästrikland,,ZERO_RESULTS,
LLA,None,ZERO_RESULTS,
Laholms landsförsamling,,ZERO_RESULTS,
Landsorten,SWE,ZERO_RESULTS,
Landsorten,,ZERO_RESULTS,
Brittiska Indien,,ZERO_RESULTS,
Slaviska länder,None,ZERO_RESULTS,
Nicolai församling,,ZERO_RESULTS,
Brittiska Indien,string,ZERO_RESULTS,
Vitön,None,ZERO_RESULTS,
krigsskådeplats,None,ZERO_RESULTS,
"Smal, Sönderjylland",,ZERO_RESULTS,
Roslagen,SWE,ZERO_RESULTS,
Öster-Dalarnes revir,,ZERO_RESULTS,
Brittiska Ostafrika,None,ZERO_RESULTS,
Kaukasusländerna,None,ZERO_RESULTS,
Göteborgsdistriktet,,ZERO_RESULTS,
Franska Ekvatorialafrika,None,ZERO_RESULTS,
Lapplandsfjällen,SWE,ZERO_RESULTS,
Lapplandsfjällen,None,ZERO_RESULTS,
Gottfridsdal,,ZERO_RESULTS,
Experimentfältet,,ZERO_RESULTS,
Franska Indokina,None,ZERO_RESULTS,
Franska Indokina,VNM,ZERO_RESULTS,
USSR,None,ZERO_RESULTS,
Trälleborg,SWE,ZERO_RESULTS,
"Versås, Skaraborgs Län",,ZERO_RESULTS,
där,,ZERO_RESULTS,
Hemsö,SWE,ZERO_RESULTS,
Lillmarieby,,ZERO_RESULTS,
Tarim,None,ZERO_RESULTS,
Drängsmarkby,,ZERO_RESULTS,
Tärna,SWE,ZERO_RESULTS,
"Kanton, Kina",,ZERO_RESULTS,
För. stat.,USA,ZERO_RESULTS,
Västra Färnebo,,ZERO_RESULTS,
Karpaterfronten,None,ZERO_RESULTS,
Teg,,ZERO_RESULTS,
Jugoslavien,null,ZERO_RESULTS,
Holl.,NLD,ZERO_RESULTS,
Hult,SWE,ZERO_RESULTS,
Jorden,None,ZERO_RESULTS,
"Lilldal, Hörksnäs",,ZERO_RESULTS,
Lidingö Villastad,,ZERO_RESULTS,
Karolinska Sjukhuset,,ZERO_RESULTS,
Jugoslavien,YUG,ZERO_RESULTS,
Horn,,ZERO_RESULTS,
Hall,SWE,ZERO_RESULTS,
Hova,,ZERO_RESULTS,
Kolmårdssanatoriet,,ZERO_RESULTS,
"Feremo, Braås",,ZERO_RESULTS,
Fennoskandien,None,ZERO_RESULTS,
Tanga,,ZERO_RESULTS,
Jämshögsby,,ZERO_RESULTS,
Handen,,ZERO_RESULTS,
Kola,RUS,ZERO_RESULTS,
"Fimmerstad, Skaraborgs Län",,ZERO_RESULTS,
Kungsholms villastad,,ZERO_RESULTS,
Vällinge,,ZERO_RESULTS,
Tyska Östafrika,None,ZERO_RESULTS,
Tanganyika,,ZERO_RESULTS,
"Sörhallen, Göteborgs och Bohus Län",,ZERO_RESULTS,
Dunker,,ZERO_RESULTS,
Västgrönland,,ZERO_RESULTS,
Hebri-derna,GBR,ZERO_RESULTS,
de ostbaltiska länderna,None,ZERO_RESULTS,
Getinge,,ZERO_RESULTS,
de nordiska länderna,NOR,ZERO_RESULTS,
Hola,,ZERO_RESULTS,
Taohualun,CHN,ZERO_RESULTS,
Västerled,SWE,ZERO_RESULTS,
"Lång, Skaraborgs Län",,ZERO_RESULTS,
Alby,SWE,ZERO_RESULTS,
Amer.,USA,ZERO_RESULTS,
Sandö,,ZERO_RESULTS,
grannländer,None,ZERO_RESULTS,
"Lägnum, Skaraborgs Län",,ZERO_RESULTS,
olika distrikt,,ZERO_RESULTS,
Dalmatien,string,ZERO_RESULTS,
Dala-Åsbo,,ZERO_RESULTS,
Dalmatiska öarna,HRV,ZERO_RESULTS,
Malaystaterna,MYS,ZERO_RESULTS,
kontinent,None,ZERO_RESULTS,
jorden,None,ZERO_RESULTS,
