Signaturer och pseudonymer

Æ	Albert Eskeröd

AF	Allan Fagerström

A Hmn	Agne Hamrin

Alfa	Allan Fagerström

Anders	Anders Andersö

Anea	Anna Lena Wik-Thorsell

ÄRO	Axel Olson

Attis	Astrid Ljungström

A W G	Walter Graumann

Ax Sbg	Axel Strindberg

A Å	Anders Ångström

B	Synnøve Bellander

Bang	Barbro Alving

Barjets	Gösta von Stedingk

B B	Bertil af Burén
Beck och Jung Holger Bäckström och Bo

Ljungberg

Bell	Synnøve Bellander
Berg, Änne Sofie Lilly Arrhenius Beyer

Bey	Ulla Beyron-Henriques

B Hsb	Bengt Hambraeus

Bom	Bengt Ahlbom

Briel	Gabriel Jönsson

BS	Bengt Sandberg

Cello	Olle Carle

Claque	Anna Lisa Wärnlöf

Colomba	Eva von Zweigbergk

Corinna	Greta Bolin

C R P	Carl Pokorny

Cwd	C V Westlund

C W-r	Carsten Welinder

D A	David Ahlqvist

Delila	Margareta von Konow

Densamme	Gabriel Jönsson

Derrick	Dietrich Winter

D M W	Dietrich Winter

Don Color	Lars Wickman

Ege	Ernst Kulling

E Hj L	Erik Hj Linder

EJ	Enar Jonsson

ELD	Erik Lundegård

Eli	Erik Hj Linder

Eli	Sten Egnell

E Lqt	Erie Lindqvist

Eng	Wilhelm Engdahl

Eo	Ansgar Eeg-Olofsson
Eriks, Gustaf

Rune	Rune Eriksson

EWA	Erik Albertson

EWK	Ewert Karlsson

E v Z	Eva von Zweigbergk

F H T	Folke Törnblom

Figge	Anders Sten

Fob	Enar Jonsson

Fröken	Greta Bolin

G A	Yngvar Alström

Gem	Gösta Edström

G Hfm	Gerhard Hafström

G H-n	Gunnar Helén

XVIII

Gits	Gits Olsson

Gleam	Yngvar Alström

GN	Gunnar Nylund

Gormander	Gunnar Ohrlander

Griggs	Sven Aurén

G S	Gunilla Skawonius

Gulle	Gunilla Brorsson Wolde

Gullmar, Kai	Gulli Bergström

Gunilla	Gunilla Skawonius

Gunlaug	Lisa Mattson

G W	Gunilla Skawonius

G W F	Gösta Funke

H	Alf Henrikson
Hallgard, Anna

Kajsa	Margit Olofsson

Ham	Agne Hamrin
Hedlund, Jan-

Olof	Sun Axelsson

Henrik	Alf Henrikson

Herr Talman	Gunnar Ljusterdal

Hersto	Herman Stolpe

Hg Pl	Hilding Pleijel

H H-th	Helge Hellroth

Hiram	Märit Huldt

HJ	Harry Järv

H S-m	Henning Söderhjelm

HSy	Håkan Sterky

H T	Harald Thorelli

Hub	Hubert Lärn

Hubert Törd	Törd Hubert Lindström

Hubertus	Hubert Lärn

Humpe	Gunilla Skawonius

I B-n	Ingmar Bengtsson

I H	Ivar Hylander

-ius	Sven Frychius

Jacko	Gertrud Wieselgren

J B	Jean Braconier

Jigg	Pär-Arne Jigenius

Josef	Lars Stalin

Jung	se Beck och Jung
Jämmerdal,

Jalmar	Alvar Lenning

Kajenn	Caj Lundgren

Kaj Jans	Töre Wärenstam
Kar de Mumma Erik Zetterström
Karl-Oskarsson,

Otto	Otto Carlsson
Katja of Sweden Katja Geiger

Kid	Ingrid Severin
Klippare, Petrus Pelle Söderman

K P	Knut Petersson
Käringen mot

strömmen	Barbro Alving

Lagrup, Knut	Knut Hansson

Lalle	Gösta Leander

Lang, Maria	Dagmar Lange

Lennart	Lennart Strandberg

LGH	Lisa Genell-Harrie

-II-	Albrekt Ellsén
